frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
0,906.914,63.703,1192.229,213.675,833.380,403.487,1107.936,480.066,814.084,512.397,1082.399,567.749
1,906.988,63.793,1192.258,213.982,834.300,403.501,1108.969,480.066,814.259,512.397,1084.004,567.749
2,907.001,63.868,1192.458,214.013,836.852,403.501,1112.154,480.833,817.124,512.397,1087.316,567.940
3,907.005,63.886,1193.807,214.515,836.858,403.487,1118.789,480.833,817.162,512.373,1092.926,567.749
4,907.855,64.157,1194.355,215.446,843.162,401.361,1125.393,480.833,825.589,512.193,1103.827,567.160
5,909.181,64.345,1196.628,216.169,853.732,401.121,1134.633,482.428,833.827,510.601,1118.329,564.181
6,910.781,65.493,1197.961,216.280,863.936,400.751,1147.738,483.514,847.270,510.434,1132.879,564.181
7,913.024,66.580,1202.180,216.280,878.598,400.430,1159.216,487.037,866.597,502.408,1148.377,564.181
8,916.675,66.580,1204.340,216.280,894.516,400.378,1171.181,489.791,885.560,502.408,1165.153,564.849
9,922.112,66.580,1207.243,216.175,910.162,399.432,1184.174,491.695,908.555,504.065,1181.224,567.011
10,922.775,65.052,1210.291,216.137,925.990,398.645,1199.335,492.736,930.052,504.065,1198.626,571.519
11,926.535,65.052,1212.715,216.011,941.604,396.816,1210.047,494.797,947.558,503.560,1216.500,577.047
12,930.340,65.052,1215.785,214.716,956.004,396.091,1222.359,497.557,969.273,503.560,1229.786,579.869
13,933.203,65.330,1217.534,214.432,969.747,394.523,1231.417,498.377,991.891,500.507,1241.156,586.314
14,937.813,65.330,1219.170,214.432,981.505,394.523,1239.316,499.752,1003.452,500.507,1250.669,591.408
15,940.016,65.330,1221.137,214.444,989.362,394.523,1244.980,501.831,1009.333,500.507,1257.022,596.064
16,940.016,65.128,1222.116,214.444,995.790,395.936,1246.840,502.735,1015.843,507.003,1258.247,597.216
17,940.356,65.124,1222.141,214.590,995.793,395.986,1246.840,504.129,1015.868,507.021,1258.247,598.394
18,940.356,65.124,1222.141,214.753,995.793,399.565,1246.840,505.098,1015.868,507.984,1258.247,601.458
19,939.909,65.128,1222.116,214.896,995.790,401.489,1244.045,505.144,1015.868,509.037,1252.596,603.680
20,939.614,66.150,1220.518,214.946,991.759,402.856,1235.064,505.678,1010.062,513.725,1241.845,606.269
21,938.836,66.646,1219.148,215.568,984.270,405.293,1227.805,506.903,1000.569,519.646,1230.673,606.269
