frame,P01_X,P01_Y,P01_Z,P02_X,P02_Y,P02_Z,P03_X,P03_Y,P03_Z
0,135.777,282.900,236.674,87.700,276.373,30.121,73.258,271.330,-41.378
1,135.819,282.882,236.557,88.410,276.689,30.049,73.933,273.151,-41.950
2,135.907,283.098,236.503,90.552,278.073,29.469,76.215,274.312,-42.344
3,136.477,284.671,236.209,93.180,286.285,27.360,78.387,281.300,-44.469
4,136.971,284.513,235.879,97.957,287.946,27.847,85.544,285.983,-45.540
5,138.301,285.821,235.512,105.244,288.382,27.448,94.029,295.227,-46.617
6,139.308,285.711,235.125,113.992,293.793,25.994,104.538,299.130,-47.585
7,141.686,288.226,234.562,123.652,292.531,25.482,117.642,297.618,-43.579
8,143.594,286.969,234.753,133.821,290.142,25.450,130.937,297.619,-43.531
9,146.293,284.725,235.101,144.277,288.981,25.745,145.177,291.980,-42.869
10,147.738,287.513,235.400,155.650,289.815,25.766,159.666,289.398,-43.311
11,149.773,286.406,235.615,165.035,285.552,27.170,173.271,291.526,-45.414
12,152.051,285.879,236.113,174.780,284.340,27.113,185.611,282.782,-43.291
13,153.552,284.897,236.247,182.681,279.706,28.904,197.426,270.877,-40.124
14,155.474,282.033,236.602,189.479,275.823,29.669,205.275,269.089,-41.082
15,156.892,281.984,236.648,194.268,273.757,29.670,210.171,270.064,-42.858
16,157.305,283.076,236.619,196.781,268.760,30.226,212.262,263.894,-43.842
17,157.411,282.768,236.614,196.891,268.927,29.711,212.366,263.969,-44.271
18,157.416,282.780,236.566,196.889,268.832,28.015,212.606,264.226,-45.784
19,157.292,283.219,236.474,195.549,265.635,28.072,210.055,258.146,-45.028
20,156.546,281.734,236.235,190.394,260.081,28.732,203.621,252.793,-46.208
21,155.785,281.040,235.933,185.199,260.162,27.226,195.828,250.618,-48.085
22,153.419,281.932,235.383,177.235,259.672,25.344,185.394,248.608,-48.918
23,151.386,280.741,235.417,167.873,259.081,24.502,173.769,247.765,-49.038
24,149.987,282.353,235.231,157.703,259.517,23.267,159.839,248.187,-49.766
