scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1192.229248,213.6753387,0.993125916,1107.935547,480.06604,0.998746276,1082.39856,567.7493896,0.938540757
1,1192.25769,213.9815216,0.993285537,1108.969116,480.06604,0.998411775,1084.00354,567.7493896,0.960099936
2,1192.458008,214.0127411,0.991816938,1112.153564,480.8331604,0.995942652,1087.315918,567.9395752,0.994826496
3,1193.807373,214.5150909,0.987246513,1118.78894,480.8331604,0.99395591,1092.92627,567.7493896,0.99329102
4,1194.354736,215.4457703,0.985642135,1125.393188,480.8331604,0.998043418,1103.826538,567.1602783,0.994745255
5,1196.627686,216.1686859,0.985535026,1134.632568,482.4275818,0.99562043,1118.329224,564.1810913,0.990926862
6,1197.960693,216.2801819,0.983975887,1147.737549,483.5138855,0.995102167,1132.87915,564.1810913,0.986632049
7,1202.179932,216.2801819,0.99119097,1159.215576,487.037323,0.997773707,1148.376709,564.1810913,0.984460413
8,1204.340088,216.2801819,0.994065523,1171.181396,489.7911987,0.997244596,1165.152588,564.848999,0.986979604
9,1207.24292,216.1748962,0.993459463,1184.174194,491.6947021,0.995875299,1181.223633,567.0111694,0.978438377
10,1210.290771,216.137085,0.987449527,1199.335083,492.7356262,0.9935323,1198.625854,571.519104,0.951211631
11,1212.715088,216.0108337,0.989471614,1210.046997,494.7965698,0.980037689,1216.499634,577.046814,0.978402197
12,1215.78479,214.7159119,0.986818433,1222.359131,497.5570679,0.996433377,1229.785522,579.8691406,0.976394475
13,1217.533691,214.4318542,0.989106357,1231.416992,498.376709,0.997266769,1241.155518,586.3137817,0.97803086
14,1219.170044,214.4318542,0.992929637,1239.315552,499.7515869,0.996825218,1250.668823,591.4078369,0.995206058
15,1221.137085,214.4437714,0.993867218,1244.979614,501.8309326,0.993926823,1257.022095,596.0640869,0.990694225
16,1222.115723,214.4437714,0.995055199,1246.84021,502.7354431,0.996192575,1258.247192,597.2156372,0.979493916
17,1222.140869,214.5896301,0.996053934,1246.84021,504.1293335,0.995466352,1258.247192,598.3938599,0.977639258
18,1222.140869,214.7528534,0.995382965,1246.84021,505.0980225,0.992970169,1258.247192,601.4579468,0.961982012
19,1222.115723,214.8959656,0.995351076,1244.044922,505.1440125,0.986761928,1252.596313,603.6799927,0.980909765
20,1220.518188,214.9460449,0.995575905,1235.064331,505.6778564,0.996669948,1241.844727,606.2688599,0.950872302
21,1219.148315,215.5684967,0.993463516,1227.805176,506.9031372,0.986102104,1230.673096,606.2688599,0.986179233
22,1216.068604,216.903717,0.987262189,1216.856567,506.9031372,0.991899371,1215.790283,606.2688599,0.984907746
23,1212.789429,216.903717,0.988361001,1203.933105,506.7142944,0.993057013,1200.125977,603.6761475,0.985250056
24,1211.436768,216.903717,0.98808217,1190.345947,506.7142944,0.995683074,1181.94751,601.0822144,0.991202831
25,1207.409424,215.7482758,0.995229006,1176.156982,506.3855591,0.996901035,1163.673218,599.9983521,0.984956563
26,1206.005737,215.5019379,0.995610774,1162.655029,503.6923523,0.993441105,1147.836914,597.6394653,0.987798929
27,1202.524902,215.5019379,0.995368898,1150.782471,498.7982483,0.991611302,1130.795166,590.8840942,0.977864981
28,1200.352417,215.3639221,0.990776598,1138.165771,495.2410889,0.995087683,1117.062378,587.9778442,0.965714455
29,1197.568604,215.1845551,0.988106966,1128.803467,492.5322571,0.992837608,1104.807007,578.2874756,0.964967787
30,1195.759399,215.1845551,0.989937186,1119.567139,490.3335876,0.995282829,1093.809937,576.8275757,0.985084593
31,1194.699829,215.0295715,0.989704788,1115.264648,485.3449402,0.995392084,1088.5,573.9880371,0.983950973
32,1193.204102,214.9322968,0.991706491,1111.477051,484.136261,0.998673439,1086.505493,570.6503296,0.975084245
33,1193.204102,214.6497345,0.991537571,1111.477051,481.8668213,0.998470843,1086.505493,568.9389038,0.972586155
34,1193.204102,214.6497345,0.990967333,1111.477051,481.0108337,0.997414708,1086.505493,567.3046265,0.992994845
35,1193.512207,214.6497345,0.989529431,1116.387817,481.0108337,0.994051278,1089.610718,567.0693359,0.996643782
36,1193.546143,215.0730438,0.983805656,1120.544067,481.0108337,0.996189833,1097.637085,566.7176514,0.966784
37,1195.052979,215.5695343,0.984763682,1129.318237,481.3763733,0.995803535,1107.859131,566.4625854,0.996517777
38,1197.160522,215.9053955,0.985227108,1139.030396,483.1541748,0.998706341,1122.144531,564.0679321,0.996129036
39,1199.882324,215.982132,0.984833658,1149.556274,485.0976563,0.993201911,1136.530151,564.0679321,0.996604204
40,1203.183838,216.0823822,0.993083954,1164.22998,486.0166626,0.993339479,1152.744141,564.0679321,0.995717108
41,1205.048462,216.2127991,0.994524956,1174.46521,490.0058899,0.996288419,1168.663208,565.9096069,0.993778348
42,1207.821655,216.5524292,0.992958903,1188.838501,490.7989197,0.996759474,1184.481812,567.8901367,0.986171544
43,1210.457031,216.2127991,0.987771153,1201.960938,493.7049866,0.996934652,1201.765869,571.9100952,0.964521766
44,1212.754639,216.0823822,0.989248216,1212.38501,495.4249573,0.982336104,1219.473389,577.5540771,0.989749968
45,1215.283813,215.9377594,0.987515211,1223.864746,497.934082,0.995762765,1230.681152,582.9004517,0.983534515
46,1217.581787,214.9138184,0.986963093,1232.335571,499.0735168,0.997894824,1242.641724,585.3478394,0.95801717
47,1218.960815,214.8701324,0.992193162,1239.245117,500.7137756,0.99710387,1249.92627,594.0200806,0.997187197
48,1221.117065,214.8701324,0.995314717,1245.590942,501.4041138,0.993848145,1255.238525,597.9283447,0.993845284
49,1221.384766,214.6750031,0.995365262,1245.590942,502.9794617,0.994477987,1255.303955,598.5713501,0.981171846
50,1221.384766,214.8654022,0.996035397,1245.590942,504.6266785,0.994066358,1255.303955,600.9511719,0.973390102
51,1221.384766,214.8654022,0.995062172,1245.424194,504.8301392,0.988717556,1255.303955,602.7659302,0.971083999
52,1221.373901,215.3213959,0.995453238,1239.609375,506.5732117,0.994602621,1248.871094,602.8139648,0.979811013
53,1219.632446,215.3213959,0.994719982,1233.485107,506.5732117,0.994927645,1236.566772,606.4353638,0.993750513
54,1218.084473,215.941864,0.990983963,1224.591797,506.7640991,0.994843721,1224.691772,606.4353638,0.972265124
55,1213.984863,216.7096558,0.988234639,1211.799194,506.5732117,0.969612896,1210.73999,606.4353638,0.963754833
56,1212.175659,216.7096558,0.988372624,1199.734741,506.5414734,0.990251064,1195.940918,603.295105,0.935636461
57,1210.10083,216.7096558,0.991134644,1186.521484,506.5363159,0.994055986,1178.215454,601.1416626,0.982481539
58,1206.98584,216.2776794,0.994704783,1172.812012,505.7726746,0.998417735,1160.264282,599.4279785,0.995517433
59,1204.822021,216.2776794,0.99465394,1160.500854,502.9008179,0.997564912,1143.906128,595.1539307,0.994232714
60,1201.381226,216.1313629,0.991574347,1148.228516,497.6724854,0.993504524,1128.83728,589.3721313,0.970187187
