scorer,,,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati
bodyparts,,,P01,P01,P02,P02,P03,P03
coords,,,x,y,x,y,x,y
labeled-data,Cam3_2025-04-21 22-29-36,img006.png,1200.6653072424965,217.67285583685697,1147.4092902744571,483.9529406770539,1133.8965695512234,563.4395331666649
labeled-data,Cam3_2025-04-21 22-29-36,img007.png,1203.0499050171848,218.4677217617531,1161.716876922587,486.3375384517422,1148.2041561993533,564.234399091561
labeled-data,Cam3_2025-04-21 22-29-36,img015.png,1223.7164190644837,216.87798991196087,1246.767530886471,501.4399910247683,1258.6905197599126,595.2341701625093
labeled-data,Cam3_2025-04-21 22-29-36,img020.png,1220.5369553648993,216.87798991196087,1236.4342738628216,506.20918657414495,1244.3829331117827,603.9776953363664
labeled-data,Cam3_2025-04-21 22-29-36,img026.png,1207.0242346416653,217.67285583685697,1164.1014746972755,503.02972287456055,1149.7938880491456,596.8239020123015
labeled-data,Cam3_2025-04-21 22-29-36,img037.png,1198.2807094678083,216.87798991196087,1131.511971776535,480.77347697746944,1110.05059180434,567.4138627911454
labeled-data,Cam3_2025-04-21 22-29-36,img054.png,1219.7420894400032,216.87798991196087,1224.5112849893799,507.7989184239372,1226.1010168391722,606.3622931110548
labeled-data,Cam3_2025-04-21 22-29-36,img055.png,1216.5626257404188,216.87798991196087,1212.5882961159382,507.0040524990411,1211.793430191042,607.1571590359509
labeled-data,Cam3_2025-04-21 22-29-36,img056.png,1214.9728938906264,217.67285583685697,1200.6653072424965,507.7989184239372,1197.485843542912,604.7725612612626
labeled-data,Cam3_2025-04-21 22-29-36,img059.png,1207.0242346416653,216.87798991196087,1160.922010997691,502.23485694966445,1145.819558424665,595.2341701625093
labeled-data,Cam3_2025-04-21 22-29-36,img060.png,1203.0499050171848,218.4677217617531,1148.9990221242494,498.2605273251839,1131.511971776535,590.4649746131327
labeled-data,Cam3_2025-04-21 22-29-36,img063.png,1198.2807094678083,216.08312398706477,1121.1787147528855,487.92727030153446,1094.948139231314,576.9522538898988
labeled-data,Cam3_2025-04-21 22-29-36,img064.png,1195.8961116931198,215.28825806216864,1116.4095192035088,484.74780660195,1092.5635414566254,571.388192415626
labeled-data,Cam3_2025-04-21 22-29-36,img065.png,1194.3063798433277,214.49339213727254,1114.0249214288206,482.36320882726164,1089.384077757041,570.5933264907299
labeled-data,Cam3_2025-04-21 22-29-36,img068.png,1194.3063798433277,216.87798991196087,1120.3838488279894,479.18374512767724,1096.537871081106,565.8241309413532
labeled-data,Cam3_2025-04-21 22-29-36,img074.png,1207.0242346416653,216.87798991196087,1179.2039272703016,487.92727030153446,1173.6398657960287,566.6189968662493
labeled-data,Cam3_2025-04-21 22-29-36,img078.png,1217.357491665315,217.67285583685697,1226.1010168391722,498.2605273251839,1231.6650783134448,583.3111812890676
labeled-data,Cam3_2025-04-21 22-29-36,img100.png,1194.3063798433277,216.08312398706477,1118.794116978197,479.97861105257334,1095.74300515621,565.0292650164571
labeled-data,Cam3_2025-04-21 22-29-36,img101.png,1195.1012457682236,216.87798991196087,1123.5633125275738,479.97861105257334,1099.7173347806906,565.8241309413532
labeled-data,Cam3_2025-04-21 22-29-36,img103.png,1199.0755753927042,216.08312398706477,1138.6657651005999,482.36320882726164,1121.1787147528855,561.8498013168727
labeled-data,Cam3_2025-04-21 22-29-36,img126.png,1202.2550390922888,217.67285583685697,1145.024692499769,497.4656614002878,1125.9479103022622,589.6701086882365
labeled-data,Cam3_2025-04-21 22-29-36,img132.png,1195.1012457682236,218.4677217617531,1119.5889829030934,480.77347697746944,1094.948139231314,565.0292650164571
labeled-data,Cam3_2025-04-21 22-29-36,img141.png,1211.793430191042,217.67285583685697,1199.0755753927042,495.0810636255994,1195.8961116931198,575.3625220401065
labeled-data,Cam3_2025-04-21 22-29-36,img142.png,1213.3831620408343,216.08312398706477,1208.6139664914576,496.6707954753916,1214.1780279657305,581.7214494392754
labeled-data,Cam3_2025-04-21 22-29-36,img145.png,1218.947223515107,217.67285583685697,1234.8445420130292,500.6451250998722,1243.5880671868865,592.8495723878209
labeled-data,Cam3_2025-04-21 22-29-36,img146.png,1220.5369553648993,216.87798991196087,1239.613737562406,503.02972287456055,1249.1521286611592,596.8239020123015
