# lab_reference_pose,calpic01
pose_key,cam_str,img_w,img_h,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y,corner_4_x,corner_4_y,corner_5_x,corner_5_y,corner_6_x,corner_6_y,corner_7_x,corner_7_y,corner_8_x,corner_8_y,corner_9_x,corner_9_y,corner_10_x,corner_10_y,corner_11_x,corner_11_y,corner_12_x,corner_12_y,corner_13_x,corner_13_y,corner_14_x,corner_14_y,corner_15_x,corner_15_y,corner_16_x,corner_16_y,corner_17_x,corner_17_y,corner_18_x,corner_18_y,corner_19_x,corner_19_y
calpic01,Cam2,1920,1080,839.371,425.771,907.734,420.541,973.932,415.197,1038.099,410.220,1100.311,405.232,837.752,494.181,905.254,487.961,970.190,481.546,1033.536,475.771,1094.882,469.890,836.829,561.111,903.114,553.485,967.805,546.796,1031.233,540.580,1092.396,534.298,836.564,626.297,901.992,618.140,965.809,610.341,1028.146,602.950,1088.245,595.783
calpic01,Cam3,1920,1080,839.713,449.967,888.302,456.905,938.449,464.307,990.417,471.435,1043.531,479.429,840.706,501.637,888.452,509.545,938.239,517.237,988.996,525.563,1041.731,534.284,840.768,552.734,888.144,561.012,936.654,569.875,986.538,579.407,1037.794,588.834,840.169,603.003,887.159,611.992,935.151,621.501,984.484,631.530,1035.600,641.605
calpic02,Cam2,1920,1080,573.520,505.389,656.920,492.876,735.488,481.659,809.199,470.419,878.689,460.281,575.042,587.264,657.110,572.542,733.851,559.057,806.733,546.066,875.280,533.793,577.307,667.257,657.692,650.200,734.215,634.898,806.949,620.870,875.495,607.530,580.249,745.274,659.422,726.578,734.676,709.211,806.218,693.194,873.225,677.611
calpic02,Cam3,1920,1080,555.988,448.605,608.563,453.737,662.148,459.085,716.541,464.394,771.550,469.761,559.496,502.140,611.314,507.745,664.471,513.284,717.800,519.254,772.280,525.039,562.222,555.076,613.561,560.851,665.428,566.939,717.617,573.636,770.852,580.350,564.012,607.053,614.706,613.262,666.077,619.893,718.143,626.617,770.966,633.402
calpic03,Cam2,1920,1080,515.362,449.527,597.467,450.869,679.120,452.674,759.657,453.812,839.375,455.492,521.529,523.878,602.238,525.348,682.333,526.144,761.387,527.552,839.592,528.762,526.900,596.667,606.263,597.380,684.705,598.752,762.464,600.168,839.417,602.045,531.369,668.096,609.359,668.769,686.835,669.601,763.477,670.625,839.474,671.769
calpic03,Cam3,1920,1080,637.588,423.891,666.276,432.962,696.472,442.371,728.871,452.326,762.550,462.736,641.588,473.610,670.163,483.719,700.460,494.340,731.837,505.523,765.133,517.378,644.265,522.528,672.426,533.621,701.526,545.554,731.527,558.260,763.134,571.584,645.145,570.736,673.166,582.957,702.056,595.963,732.050,609.760,764.181,624.301
calpic04,Cam2,1920,1080,1022.694,320.088,1062.834,314.767,1101.566,309.226,1138.623,304.445,1174.644,298.925,1017.539,372.689,1057.350,366.108,1095.264,359.645,1132.506,354.158,1168.086,348.305,1013.475,423.588,1052.626,416.407,1091.210,409.490,1128.815,403.090,1165.016,396.908,1010.607,474.294,1049.439,466.276,1087.428,458.706,1124.562,451.253,1160.022,443.882
calpic04,Cam3,1920,1080,1242.428,435.458,1291.450,438.924,1341.127,442.188,1391.046,445.510,1441.260,448.950,1237.616,480.844,1286.058,484.424,1335.088,487.682,1384.553,491.387,1434.366,495.093,1233.217,525.591,1281.024,529.268,1329.528,533.057,1378.660,537.215,1428.012,541.396,1228.752,569.922,1276.167,573.737,1324.282,577.610,1372.796,581.874,1421.605,586.089
calpic05,Cam2,1920,1080,1488.796,448.158,1544.411,440.603,1597.822,433.439,1649.101,426.191,1698.812,419.371,1475.384,517.824,1530.556,509.435,1583.150,500.396,1634.661,492.609,1683.916,484.436,1464.151,585.814,1518.307,576.158,1571.642,566.762,1624.202,558.119,1674.339,550.255,1455.292,652.330,1508.780,641.643,1561.553,631.273,1612.953,621.808,1662.083,612.406
calpic05,Cam3,1920,1080,1207.187,576.239,1280.493,586.319,1356.645,596.718,1434.842,607.455,1515.282,618.428,1201.852,642.200,1273.822,653.252,1348.433,664.502,1425.258,676.515,1504.308,688.440,1196.411,706.924,1267.283,718.736,1340.407,731.429,1415.693,744.960,1493.466,758.614,1190.536,770.761,1260.429,783.392,1332.440,797.001,1406.681,811.077,1483.190,825.331
